drill size; preparing time; time 100 holes
100;40;16
150;40;16
200;40;16
250;40;16
300;40;16
350;40;16
400;40;16
450;40;16
500;40;16
550;40;16
600;40;16
650;40;16
700;40;16
750;40;16
800;40;16
850;40;16
900;40;16
950;40;16
1000;40;16
1050;40;16
1100;40;17
1150;40;17
1200;40;17
1250;40;17
1350;40;17
1450;40;17
1500;40;17
1550;40;17
1600;40;17
1650;40;17
1700;40;17
1750;40;25
1850;40;25
1950;40;25
2000;40;25
2100;40;25
2200;40;25
2350;40;30
2400;40;30
2500;40;30
2600;40;35
2700;40;35
2800;40;40
2900;40;40
3000;40;40
3050;40;45
3100;40;45
3150;40;50
3200;40;50
3300;40;50
3400;40;50
3500;40;55
3600;40;60
3700;40;60
3800;40;60
3900;40;70
4000;40;80
4100;40;80
4200;40;80
4300;40;80
4400;40;80
4500;40;90
4600;40;110
4700;40;110
4800;40;110
4900;50;110
5000;50;110
5100;50;110
5200;50;110
5300;50;110
5400;50;110
5500;50;245
5600;60;245
5700;60;245
5800;60;245
5900;60;245
6000;60;245
6100;60;245
6200;60;245
6300;60;245
6400;60;245
6500;60;245
